super@parking.system,SManager@1234,Super Manager
a@b.com,Hello@1234,Visitor,true
kunalrishi22@gmail.com,Hello@1234,Student,false
manager8291@parking.system,62073209,Manager
manager8937@parking.system,76205429,Manager
manager5631@parking.system,62825382,Manager
manager2143@parking.system,81456646,Manager
manager8905@parking.system,87445594,Manager
manager1167@parking.system,37599213,Manager
manager3504@parking.system,24947691,Manager
manager4095@parking.system,43318430,Manager
manager2079@parking.system,43520220,Manager
manager5535@parking.system,71774120,Manager
manager8115@parking.system,69863303,Manager
manager7211@parking.system,59441524,Manager
manager1472@parking.system,18996202,Manager
manager6382@parking.system,67047563,Manager
manager9838@parking.system,90671370,Manager
manager2053@parking.system,68431502,Manager
manager1786@parking.system,98028863,Manager
manager3061@parking.system,43299226,Manager
manager1473@parking.system,52165996,Manager
manager9577@parking.system,86471496,Manager
manager8990@parking.system,18625933,Manager
manager1004@parking.system,26236386,Manager
